Organisation,Description,Category,Tech Stack,Tags,Idea List,IRC Channel,Org Page
52°North Initiative for Geospatial Open Source Software GmbH,52°North works on innovative ideas and technologies in geoinformatics,"
Science and Medicine
","['javascript', 'android', 'web', ' java']","['ogc', 'web processing', 'sensorweb', 'floating car data', 'earth observation']",https://wiki.52north.org/Projects/GSoC2019ProjectIdeas,https://wiki.52north.org/Projects/GSoC#Contact,https://summerofcode.withgoogle.com/archive/2019/organizations/6331236958601216/
AboutCode.org,Find the origin and license of code,"
Other
","['python', ' javascript', 'nlp', 'automaton', 'search']","['license-scan', 'oss licensing', 'package managers', 'copyright', 'license compliance']",https://github.com/nexB/aboutcode/wiki/GSOC-2019,https://gitter.im/aboutcode-org/discuss,https://summerofcode.withgoogle.com/archive/2019/organizations/5430785606156288/
AerospaceResearch.net,making space together,"
Science and Medicine
","['python', ' c/c++', 'vhdl', 'boinc', 'java']","['cubesats', 'space applications', 'software defined radio', 'distributed computing', 'simulations']",https://aerospaceresearch.net/?page_id=1111,https://aerospaceresearch.zulipchat.com/,https://summerofcode.withgoogle.com/archive/2019/organizations/5335970445000704/
aimacode,"Code for the book ""Artificial Intelligence: A Modern Approach""","
Programming Languages and Development Tools
","['python', 'python 3', ' java', ' javascript', 'machine learning']","['machine learning', 'artificial intelligence', ' education', 'open education']",http://aima.cs.berkeley.edu/gsoc.html,http://aima.cs.berkeley.edu/gsoc.html,https://summerofcode.withgoogle.com/archive/2019/organizations/5844178540429312/
Amahi,Making Home Networking and Storage Simple,"
End User Applications
","['golang', 'ruby on rails', ' android', 'ios', 'containers']","['media server', 'storage server', 'streaming', 'backups', 'web apps']",https://wiki.amahi.org/index.php/Google_Summer_of_Code_Ideas,https://www.amahi.org/community,https://summerofcode.withgoogle.com/archive/2019/organizations/6556685512998912/
Android Graphics Tools Team,Providing excellent tools for graphics developers and driver makers,"
Programming Languages and Development Tools
","['opengl', 'vulkan', 'spir-v', 'java', ' c/c++']","['2d/3d graphics', 'developer tools', 'debugging', 'testing', 'bug finding']",https://github.com/google/graphicsfuzz/blob/master/docs/summer-of-code-ideas/2019.md,mailto:android-graphics-tools@google.com,https://summerofcode.withgoogle.com/archive/2019/organizations/5704209515675648/
AOSSIE - Australian Open Source Software Innovation and Education,Australian Umbrella Org for Open-Source Projects,"
End User Applications
","['scala', 'javascript', 'isabelle proof assistant', 'android', 'ios']","['electronic voting', 'natural language processing', 'environment', 'machine learning', 'philosophy']",http://aossie.org/#ideas,https://gitter.im/AOSSIE/Lobby,https://summerofcode.withgoogle.com/archive/2019/organizations/4551437139312640/
Apertium,A free/open-source machine translation platform,"
Other
","['c++', 'python', 'xml', 'bash']","['machine translation', 'natural language processing', 'less-resourced languages']",http://wiki.apertium.org/wiki/Ideas_for_Google_Summer_of_Code,http://wiki.apertium.org/wiki/IRC,https://summerofcode.withgoogle.com/archive/2019/organizations/5281228587008000/
apertus° Association,open technology for professional film production,"
Graphics / Video / Audio / Virtual Reality
","['fpga', 'embedded', 'vhdl', 'c', 'linux']","['image processing', 'camera', 'vision', 'fpga', 'embedded systems']",https://lab.apertus.org/project/board/20/,https://www.apertus.org/irc-chat,https://summerofcode.withgoogle.com/archive/2019/organizations/5576921247645696/
API Client Tools at Google,Industry-leading user experiences for networked APIs.,"
Programming Languages and Development Tools
","['openapi', 'grpc', 'protocol buffers', 'rpc', 'rest']","['apis', 'automation', 'code generation', 'api description']",https://github.com/googleapis/googleapis.github.io/wiki/Project-Ideas,mailto:actools-info@google.com,https://summerofcode.withgoogle.com/archive/2019/organizations/6340359469137920/
