Organisation,Description,Category,Tech Stack,Tags,Idea List,IRC Channel,Org Page
Performance Co-Pilot,System-level performance analysis toolkit,"
Operating Systems
","['python', 'javascript', 'c', 'linux', 'windows']","['high performance computing', 'visualization', ' web development', 'kernel', 'performance']",http://pcp.io/gsoc/2017/ideas.html,http://pcp.io/community.html,https://summerofcode.withgoogle.com/archive/2017/organizations/5840169290694656/
Pharo Consortium,Pharo: The Immersive Programming Experience,"
Programming Languages and Development Tools
","['smalltalk', 'roassal', 'polymath', 'pharo']","['object oriented programming', 'dynamic environment', 'data science', 'user interface', 'ide']",http://gsoc.pharo.org/,https://pharoproject.slack.com,https://summerofcode.withgoogle.com/archive/2017/organizations/5691803940421632/
phpBB Forum Software,phpBB is the most widely used free and open source forum software,"
Social / Communications
","['php ', 'mysql', 'javascript', 'symfony', 'css']","['social', 'communication', 'collaboration', 'forum', 'community']",https://www.phpbb.com/development/gsoc/ideas,https://www.phpbb.com/support/irc,https://summerofcode.withgoogle.com/archive/2017/organizations/5715998162288640/
phpMyAdmin,A web interface for MySQL written in PHP,"
Data and Databases
","['php', 'mysql', 'jquery', 'javascript', 'cakephp']","['database', 'mysql', 'developer', 'administrator', 'web application']",https://github.com/phpmyadmin/phpmyadmin/wiki/GSoC_2017_ideas_list,https://github.com/phpmyadmin/phpmyadmin/wiki/IRC,https://summerofcode.withgoogle.com/archive/2017/organizations/5535586047754240/
Physical Web Project,Physical Web GSoC project based on the Physical Web,"
Other
","['beacon', 'web bluetooth', 'physical web', 'bluetooth']","['internet of things', 'beacons']",http://physical-web-project.github.io/,mailto:physicalwebproject@gmail.com,https://summerofcode.withgoogle.com/archive/2017/organizations/6491731667189760/
Plone Foundation,The premier python-based open source CMS,"
Web
","['python', ' javascript', 'html/css']","[' content management', 'cms']",https://plone.org/community/gsoc/ideas/,https://community.plone.org,https://summerofcode.withgoogle.com/archive/2017/organizations/4530756705583104/
PMD,An extensible cross-language static code analyzer.,"
Programming Languages and Development Tools
","['java', 'javacc', 'xml', 'antlr', 'xpath']","['code quality', 'source code analyzer', 'code analysis', 'linter']",https://github.com/pmd/pmd/wiki/Project-Ideas-%5BMature%5D,https://lists.sourceforge.net/lists/listinfo/pmd-devel,https://summerofcode.withgoogle.com/archive/2017/organizations/5158578918785024/
Polly Labs,Promoting Polyhedral Compilation,"
Programming Languages and Development Tools
","['llvm', 'integer set library', 'ppcg', 'pencil', 'polly']","['polyhedral compilation', 'parallelization', 'program verification', 'optimization', 'fpga']",http://pollylabs.org/gsoc2017.html,https://groups.google.com/forum/#!forum/isl-development,https://summerofcode.withgoogle.com/archive/2017/organizations/4788561849090048/
Portland State University,Individual and Academic Open Source,"
Other
","['open hardware', 'language-agnostic']","['new projects', 'academic projects', 'individual projects']",http://wiki.cs.pdx.edu/psu-gsoc/ideas.html,mailto:psu-gsoc-2017@googlegroups.com,https://summerofcode.withgoogle.com/archive/2017/organizations/5827042528460800/
PostgreSQL,"PostgreSQL is a powerful, open source object-relational database system.","
Data and Databases
","['postgresql', 'c', 'perl', 'sql']","['database', 'rdbms']",https://wiki.postgresql.org/wiki/GSoC_2017,https://www.postgresql.org/community/irc/,https://summerofcode.withgoogle.com/archive/2017/organizations/5443503559540736/
Public Lab,Open hardware and software to help communities measure and analyze pollution,"
Other
","[' javascript', ' ruby', 'ruby on rails']","['environment', 'pollution', 'hardware', 'science', 'community']",http://publiclab.org/wiki/gsoc-ideas,http://gitter.im/publiclab/publiclab,https://summerofcode.withgoogle.com/archive/2017/organizations/6029803371102208/
Python Software Foundation,Python is a programming language used by scientists & software developers alike.,"
Science and Medicine
",['python'],"['hardware', 'programming languages', ' science']",http://python-gsoc.org/,http://python-gsoc.org/#contact,https://summerofcode.withgoogle.com/archive/2017/organizations/5370985721102336/
QEMU,Open source machine emulator and virtualizer,"
Other
","['c', 'python']","['compiler', 'virtualization', 'emulation', 'hypervisor']",http://wiki.qemu-project.org/Google_Summer_of_Code_2017,http://www.qemu-project.org/contribute/,https://summerofcode.withgoogle.com/archive/2017/organizations/4782716667035648/
Qubes OS,A reasonably secure operating system,"
Operating Systems
","['c', 'python', 'shell', 'xen', 'linux']","['security', 'privacy', 'virtualization', 'operating system']",https://www.qubes-os.org/gsoc/,https://www.qubes-os.org/mailing-lists/,https://summerofcode.withgoogle.com/archive/2017/organizations/5074771758809088/
R project for statistical computing,R is a free software environment for statistical computing and graphics,"
Programming Languages and Development Tools
","['r-project', 'c', 'c++', 'fortran', 'javascript']","['data science', 'visualization', 'machine learning', 'statistics', ' graphics']",https://github.com/rstats-gsoc/gsoc2017/wiki/table-of-proposed-coding-projects,https://github.com/rstats-gsoc/gsoc2017/wiki,https://summerofcode.withgoogle.com/archive/2017/organizations/5555424770129920/
radare2,Radare2 reverse engineering framework and toolset,"
Security
","['c', 'rust', 'python', 'nodejs']",['reverse engineering'],http://radare.org/gsoc/2017/ideas.html,http://radare.org/r/me.html,https://summerofcode.withgoogle.com/archive/2017/organizations/4795019735072768/
ReactOS,"ReactOS is a free, open source, Windows compatible operating system.","
Operating Systems
","['c', 'c++']","['operating systems', 'drivers', 'desktop', 'kernel', 'windows']",https://www.reactos.org/wiki/Google_Summer_of_Code_2017_Ideas,https://reactos.org/irc,https://summerofcode.withgoogle.com/archive/2017/organizations/6057879303880704/
Red Hen Lab,Research on Multimodal Communication,"
Science and Medicine
","['high performance computing', 'machine learning', 'opencv', 'audio processing', 'multimodal analysis']","['natural language processing', 'co-speech gesture', 'big data visualization', 'deep learning', 'multimedia']",http://www.redhenlab.org/summer-of-code/summer-of-code-2017---ideas-page,mailto:redhenlab@gmail.com,https://summerofcode.withgoogle.com/archive/2017/organizations/6645492838563840/
RoboComp,A simple robotics framework.,"
Other
","['c++', 'cmake', 'python', 'openscenegraph', 'qt']","['computer vision', 'robotics', 'robotics simulation']",http://robocomp.github.io/website/2017/02/07/gsoc17ideas/,https://gitter.im/robocomp/home,https://summerofcode.withgoogle.com/archive/2017/organizations/5477575937753088/
Rocket.Chat,The ultimate open source chat and messaging platform,"
Social / Communications
","['javascript', 'meteor.js', 'mongo', 'webrtc']","['chat', 'progressive web apps', 'realtime', 'collaboration', 'instant messaging']",https://rocket.chat/docs/contributing/google-summer-of-code,https://demo.rocket.chat/channel/gsoc17,https://summerofcode.withgoogle.com/archive/2017/organizations/5788044225413120/
Rspamd,High-performance spam filtering system,"
Social / Communications
","['c', 'lua', 'cmake']","['machine learning', 'email', 'spam filtering']",https://rspamd.com/ideas.html,https://rspamd.com/support.html,https://summerofcode.withgoogle.com/archive/2017/organizations/5230067307249664/
RTEMS Project,RTEMS is a real-time operating system used around the world and in space.,"
Operating Systems
","['c', 'python', 'posix']","['real time', 'operating system', 'kernel', 'embedded systems', 'multicore']",https://devel.rtems.org/wiki/Developer/OpenProjects,https://devel.rtems.org/wiki/Developer/IRC,https://summerofcode.withgoogle.com/archive/2017/organizations/6586933375401984/
Ruby on Rails,Ruby on Rails make web application development easy and fun.,"
Web
","['html', 'ruby on rails', 'ruby']","['web', 'full stack']",https://github.com/railsgsoc/ideas/wiki/2017-Ideas,http://rubyonrails.org/community/,https://summerofcode.withgoogle.com/archive/2017/organizations/5017499041005568/
Ruby Science Foundation,Tools for Scientific Computing in Ruby,"
Science and Medicine
","[' ruby', 'science', 'web', 'data', 'gpu']","['science', 'data', 'web', 'package management', 'hpc']",https://github.com/SciRuby/sciruby/wiki/Google-Summer-of-Code-2017-Ideas,http://sciruby.com/#irc,https://summerofcode.withgoogle.com/archive/2017/organizations/6710362682425344/
Sage Mathematical Software System,open source math software,"
Science and Medicine
","['python', 'cython', 'c++', 'c']","['mathematics', 'algorithms']",https://wiki.sagemath.org/GSoC/2017,https://groups.google.com/group/sage-gsoc/,https://summerofcode.withgoogle.com/archive/2017/organizations/5071296056524800/
Samba,Opening windows to a wider world.,"
Cloud
","['c', 'python']","['samba', 'networks', 'interoperability']",https://wiki.samba.org/index.php/SoC/Ideas,https://wiki.samba.org/index.php/SoC/Ideas,https://summerofcode.withgoogle.com/archive/2017/organizations/5093706659004416/
Scala,The programming language where object-oriented meets functional.,"
Programming Languages and Development Tools
","['scala', 'jvm']","['compiler', 'programming tools', 'functional programming', 'programming languages']",http://scala-lang.org/gsoc/2017.html,https://gitter.im/scala/scala,https://summerofcode.withgoogle.com/archive/2017/organizations/6452441306365952/
Scilab,Numerical computational package and high-level programming language.,"
End User Applications
","['c++', 'java', 'python', 'c', 'opengl']","['graphics', 'numerical computing', 'programming language', 'scientific visualization']",https://wiki.scilab.org/GSoC_project_proposal,https://www.scilab.org/resources/user_community/irc,https://summerofcode.withgoogle.com/archive/2017/organizations/6603475844595712/
ScummVM,ScummVM is a GSoC umbrella for game preservation projects,"
End User Applications
","['c++', 'sdl', 'opengl', 'assembly']","['game', 'engines', 'software preservation']",http://wiki.scummvm.org/index.php/Summer_of_Code/GSoC_Ideas_2017,http://wiki.scummvm.org/index.php/Summer_of_Code/GSoC_Contact,https://summerofcode.withgoogle.com/archive/2017/organizations/6165044375060480/
Shogun Machine Learning Toolbox,Unified and efficient Machine Learning,"
Science and Medicine
","['c/c++', 'python', 'swig', 'machine learning', 'cmake']","['machine learning', ' statistics', ' fast algorithms', ' bioinformatics', ' software engineering']",https://github.com/shogun-toolbox/shogun/wiki/Google-Summer-of-Code-2017-Projects,http://shogun-toolbox.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/4704476053110784/
Sigmah,Java/GWT platform for humanitarian project management,"
End User Applications
","['gwt', 'java', 'postgresql']","['humanitarian', 'project-management']",http://wiki.sigmah.org/doku.php?id=ssoc:ideas4gsoc2017,http://wiki.sigmah.org/doku.php?id=contributorguide:projectcommunitycommunication#sigmah_irc_channelwhere_we_can_chat_live,https://summerofcode.withgoogle.com/archive/2017/organizations/5019976297611264/
Software Product Data Exchange (SPDX),Promoting open source compliance through standard communication of SW licenses.,"
Programming Languages and Development Tools
","['rdf', 'python', 'java', ' github', 'c']","['compliance', 'opensource', 'licensing']",http://wiki.spdx.org/view/GSOC/GSOC_ProjectIdeas,https://lists.spdx.org/mailman/listinfo/spdx-tech,https://summerofcode.withgoogle.com/archive/2017/organizations/6300304437936128/
STE||AR Group,The C++ Standards Library for Concurrency and Parallelism,"
Other
","['c++', 'boost', 'hpx', 'c++17 parallel stl', 'parallel algorithms']","['runtime systems', 'c++ standardizaion', 'algorithms', 'parallel computing', 'high performance computing']",https://github.com/STEllAR-GROUP/hpx/wiki/GSoC-2017-Project-Ideas,https://github.com/STEllAR-GROUP/hpx/wiki/HPX-Resource-Guide,https://summerofcode.withgoogle.com/archive/2017/organizations/6145876204453888/
"Stony Brook University, Biomedical Informatics",Advance biomedical knowledge through innovative data science research,"
Science and Medicine
","['big data', 'apache spark', 'matlab', 'c++', 'hadoop']","['biomedical informatics', 'medical imaging', 'bioinformtics', 'big data', 'database']",http://goo.gl/7c3zOI,https://groups.google.com/d/forum/stonybrookbmigsoc,https://summerofcode.withgoogle.com/archive/2017/organizations/6367868836904960/
strace,linux syscall tracer,"
Operating Systems
","['linux', 'c', 'git', 'shell script', 'make']","['linux', 'syscall', 'tracing', 'c', 'git']",https://sourceforge.net/p/strace/wiki/GoogleSummerOfCode2017/,https://strace.io,https://summerofcode.withgoogle.com/archive/2017/organizations/6249254993526784/
Sugar Labs,"We make tools that learners use to explore, discover, create, and reflect.","
Programming Languages and Development Tools
","[' python', 'javascript', 'gtk', 'android']","['learning', 'education']",https://wiki.sugarlabs.org/go/Summer_of_Code/2017,https://webchat.freenode.net/,https://summerofcode.withgoogle.com/archive/2017/organizations/4675168001589248/
Sustainable Computing Research Group ( SCoRe ),"SCoRe has conducted research covering various aspects of Security, Mobile & IOT.","
End User Applications
","['python', 'java', 'gcp', 'android', 'golan']","['iot', 'security', 'mobile applications', 'embedded systems']",http://www.scorelab.org/gsoc-2017/,https://gitter.im/scorelab/scorelab,https://summerofcode.withgoogle.com/archive/2017/organizations/4984473024200704/
SymPy,SymPy is a Python library for symbolic mathematics.,"
Science and Medicine
","['python', 'c++']","['mathematics', ' science', 'computer algebra']",https://github.com/sympy/sympy/wiki/GSoC-2017-Ideas,https://gitter.im/sympy/sympy,https://summerofcode.withgoogle.com/archive/2017/organizations/5228947662962688/
"Systers, an Anita Borg Institute community",Helping women find their potential in code.,"
Other
","['android', 'ios', 'python', 'java', 'javascript ']","['women in tech', 'games', 'peace corps', 'web', 'mobile']",https://github.com/systers/ossprojects/wiki/GSoC-2017,http://systers.io/slack-systers-opensource/,https://summerofcode.withgoogle.com/archive/2017/organizations/5429781541683200/
TEAMMATES @ National University of Singapore,An online feedback management system for students and teachers,"
Web
","['java', ' javascript', 'google app engine', 'css', 'java ee']","['education', 'peer feedback', 'webapps', 'saas']",http://tinyurl.com/teammates-ideas,https://github.com/teammates/teammates#contacting-us,https://summerofcode.withgoogle.com/archive/2017/organizations/5786366906466304/
The Center for Connected Learning and Computer-Based Modeling,NetLogo: A language and IDE for programming and scientific simulations,"
Programming Languages and Development Tools
","['javascript', 'scala', 'html5']","['simulation', 'education', 'programming language', 'science', ' research']",https://github.com/NetLogo/NetLogo/wiki/Google-Summer-of-Code-Ideas-List,https://gitter.im/NetLogo/GSoC2017,https://summerofcode.withgoogle.com/archive/2017/organizations/4578118920568832/
The CGAL Project,C++ library of computational geometry and geometry processing,"
Science and Medicine
","['c++', 'git', 'github']","['computational geometry', 'geometry processing', 'mesh processing', 'triangulaton', 'arrangement']",http://www.cgal.org/project_ideas.html,http://www.cgal.org/mailing_list.html,https://summerofcode.withgoogle.com/archive/2017/organizations/6565611412914176/
The Eclipse Foundation,"An amazing open source community of tools, projects, and  collaboration.","
Other
","['java', 'geo', 'iot', 'che', 'ide']","['locationtech', 'developer tools', 'runtimes', 'frameworks']",https://wiki.eclipse.org/Google_Summer_of_Code_2017_Ideas,https://dev.eclipse.org/mailman/listinfo/soc-dev,https://summerofcode.withgoogle.com/archive/2017/organizations/5043263878725632/
The FreeType Project,FreeType font rendering library,"
Graphics / Video / Audio / Virtual Reality
","['fonts', 'opentype', 'c', 'library']","['fonts', 'opentype', 'rendering', 'graphics', 'truetype']",https://www.freetype.org/gsoc.html,https://lists.nongnu.org/mailman/listinfo/freetype-devel,https://summerofcode.withgoogle.com/archive/2017/organizations/4699374705704960/
The GNU Project,GNU is an operating system that is free software,"
Operating Systems
","['c', 'guile', 'python']",['operating system'],https://www.gnu.org/software/soc-projects/ideas.html,https://lists.gnu.org/mailman/listinfo/summer-of-code,https://summerofcode.withgoogle.com/archive/2017/organizations/5556772852989952/
The Honeynet Project,The Honeynet Project - R&D for Honeypot/Honeynet Technology and InfoSec Research,"
Security
","[' python', 'javascript', 'golang', 'android', 'network stack']","['security', 'honeypots', 'deception', 'research', 'malware']",https://honeynet.org/gsoc/ideas,https://gsoc-slack.honeynet.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/5512685819002880/
The Java Pathfinder Team,JPF is a highly extensible Java virtual machine built for software analysis,"
Programming Languages and Development Tools
","['java', ' jvm', ' android', ' distributed systems']","['program analysis ', ' testing ', ' verification ', ' model checking', ' environment generation']",https://jpf.byu.edu/gsoc17/projects/projects.html,https://webchat.freenode.net,https://summerofcode.withgoogle.com/archive/2017/organizations/4740037845450752/
The Julia Language,A fresh approach to Technical Computing,"
Programming Languages and Development Tools
","['julia', ' javascript', 'gpu', 'c/c++', 'llvm']","['graphics', 'plotting', 'numerical computing', 'high performance computing', 'linear algebra']",http://julialang.org/soc/ideas-page.html,https://discourse.julialang.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/6682672759832576/
The Libreswan Project,Encrypting the internet using IKE and IPsec,"
Security
","['c', 'python', ' shell script']","['vpn', 'ipsec', 'ike']",https://libreswan.org/wiki/GSoC2017,https://libreswan.org/wiki/Main_Page#Developer_documentation,https://summerofcode.withgoogle.com/archive/2017/organizations/6311703818010624/
The Linux Foundation,A non-profit consortium dedicated to fostering the growth of Linux,"
Operating Systems
","['c', 'c++', 'cups', 'mysql', 'gtk']","['kernel', 'printing', 'lsb', 'wireless', 'wireguard']",https://wiki.linuxfoundation.org/gsoc/google-summer-code-2017,https://wiki.linuxfoundation.org/gsoc/google-summer-code-2017#if-you-have-questions,https://summerofcode.withgoogle.com/archive/2017/organizations/5902526847123456/
The MacPorts Project,Open Source package manager for Mac OS.,"
End User Applications
","['tcl', 'make', 'git']","['package manager', 'mac os x', 'macos']",https://trac.macports.org/wiki/SummerOfCode,http://webchat.freenode.net/?channels=%23macports,https://summerofcode.withgoogle.com/archive/2017/organizations/5223416953044992/
The NetBSD Foundation,Of course it runs NetBSD!,"
Operating Systems
","['virtualization', 'filesystems', 'network stack', 'arm', 'mips']","['general purpose os', 'real unix', 'package management', 'free and open source software']",https://wiki.netbsd.org/projects/gsoc/,https://wiki.netbsd.org/netbsd-code-chat,https://summerofcode.withgoogle.com/archive/2017/organizations/5856162406727680/
The ns-3 Network Simulator Project,ns-3 is a packet-level network simulator for research and education.,"
Other
","['c++', 'python']","['networking', 'computer networking', 'simulation', 'research and development']",https://www.nsnam.org/wiki/GSOC2017Projects,https://www.nsnam.org/developers/tools/irc/,https://summerofcode.withgoogle.com/archive/2017/organizations/5226418732531712/
The Processing Foundation,Our goal is to empower people of all backgrounds to learn how to program.,"
Programming Languages and Development Tools
","['java', ' javascript', ' python', ' android', ' opengl']","['creative coding', ' graphics', ' web', ' education', ' design']",https://github.com/processing/processing/wiki/Project-List,https://forum.processing.org/two/categories/summer-of-code-2017,https://summerofcode.withgoogle.com/archive/2017/organizations/5256745899261952/
The Wine Project,"Wine runs Windows applications on Linux, BSD, Solaris and Mac OS X.","
Other
","['c', ' opengl', ' directx', ' x11', ' win32']","['compatibility', ' desktop integration']",http://wiki.winehq.org/SummerOfCode,http://www.winehq.org/irc,https://summerofcode.withgoogle.com/archive/2017/organizations/5417956825628672/
Tiled,"A free, easy to use and flexible 2D level editor.","
End User Applications
","['qt', 'c++', 'git', 'github']","['edit', 'editing', 'level', 'game', 'game development']",https://github.com/bjorn/tiled/wiki/GSoC-2017,https://gitter.im/bjorn/tiled,https://summerofcode.withgoogle.com/archive/2017/organizations/6470814639587328/
TimVideos,"Software & hardware to recording + streaming conferences, meetings & usergroups.","
Graphics / Video / Audio / Virtual Reality
","['python', 'verilog', 'fpga', 'vhdl', 'c']","['hardware', 'embedded', 'video', 'fpga']",https://code.timvideos.us/summer-of-code/,https://webchat.freenode.net/?channels=#timvideos,https://summerofcode.withgoogle.com/archive/2017/organizations/6543856732471296/
Tor,Internet privacy and anonymity,"
Security
","['c', ' python', 'javascript', 'c++']","['privacy', ' anonymity', ' counter-censorship', 'free-speech']",https://www.torproject.org/about/gsoc,https://www.torproject.org/about/contact#irc,https://summerofcode.withgoogle.com/archive/2017/organizations/5273949793419264/
UCSC Xena,Helping biologists see the bigger picture in diverse cancer genomics data,"
Science and Medicine
","['javascript', 'react', 'clojure', 'd3', 'python']","['genomics', 'data visualization', 'cancer', ' bioinformatics', 'web application']",https://github.com/ucscXena/ucsc-xena-client/wiki/Google-Summer-of-Code-Ideas,http://xena.ucsc.edu/#subscribe,https://summerofcode.withgoogle.com/archive/2017/organizations/4944943755821056/
"Urban Energy Systems Laboratory, Empa",HUES is a platform for modeling & analysis of distributed energy systems,"
Science and Medicine
","['python', 'gis', 'fast fluid dynamics']","['distributed energy systems', 'modeling & optimization', 'data portal']",https://hues.empa.ch/index.php/HUES_GSoC_Projects_2017,mailto:andrew.bollinger@empa.ch,https://summerofcode.withgoogle.com/archive/2017/organizations/4513544758362112/
VideoLAN,"A team of volunteers, believing in the power of open source multimedia.","
Graphics / Video / Audio / Virtual Reality
","['c++', 'c', 'opengl', 'qt', 'assembly']","['video', 'audio', 'multimedia']",https://wiki.videolan.org/Google_Summer_of_Code_2017/,https://mailman.videolan.org/listinfo/vlc-devel,https://summerofcode.withgoogle.com/archive/2017/organizations/4898083515138048/
ViSP,Visual tracking and visual servoing library,"
Graphics / Video / Audio / Virtual Reality
","['vision', ' c++']","['robotics', 'vision']",https://github.com/lagadic/visp/wiki/GSoC_2017,https://visp.inria.fr,https://summerofcode.withgoogle.com/archive/2017/organizations/4892929554382848/
Wikimedia Foundation,Global movement whose mission is to bring free educational content to the world,"
Web
","['php ', 'javascript ', ' html ', ' css ', ' jquery']","[' web', ' wiki', 'encyclopedia']",https://www.mediawiki.org/wiki/Google_Summer_of_Code_2017,https://www.mediawiki.org/wiki/Google_Summer_of_Code_2017#Contact,https://summerofcode.withgoogle.com/archive/2017/organizations/6468952502829056/
WorldBrain - Verifying the Internet with Science,"Full-text search your history, bookmarks and all your apps.","
Social / Communications
","['reactjs', ' javascript']","['fake-news', 'misinformation', 'search', 'digital knowledge']",http://www.worldbrain.io/GSoC_ideas_list,http://join-worldbrain.herokuapp.com,https://summerofcode.withgoogle.com/archive/2017/organizations/6393325913374720/
WSO2,Comprehensive and open source middleware platform that spans the breadth of SOA,"
Other
","['soa', 'middleware', 'java', 'distributed computing', 'web services']","['cloud', 'iot', 'security', 'micro services', 'api management']",https://docs.wso2.com/display/GSoC/Project+Proposals+for+2017,https://freenode.net/,https://summerofcode.withgoogle.com/archive/2017/organizations/6070843662663680/
