Organisation,Description,Category,Tech Stack,Tags,Idea List,IRC Channel,Org Page
52°North GmbH,52°North works on innovative ideas and technologies in geoinformatics,"
Science and Medicine
","[' javascript', 'java', 'ogc standards', 'web services', ' python']","['spatial information infrastructures', 'citizen science', 'open standards', 'geoinformation systems']",https://wiki.52north.org/Projects/GSoC2021ProjectIdeas,https://wiki.52north.org/Projects/GSoC#Contact,https://summerofcode.withgoogle.com/archive/2021/organizations/5129526253715456/
AboutCode,AboutCode is a suite of tools to uncover data ... about software and code:,"
Other
","['python', 'django', 'javascript', 'postgres']","['software composition analysis', 'software packages', 'scanning']",https://github.com/nexB/aboutcode/wiki/GSOC-2021,https://gitter.im/aboutcode-org/discuss,https://summerofcode.withgoogle.com/archive/2021/organizations/5677990456852480/
Accord Project,Linux Foundation’s open source project for smart legal contracts.,"
Programming Languages and Development Tools
","['javascript', 'react', 'coq', 'ocaml', 'compiler']","['smart contracts', 'legal', 'blockchain', 'compilers', 'ai']",https://github.com/accordproject/techdocs/wiki/Google-Summer-of-Code-2021,https://accord-project-slack-signup.herokuapp.com/,https://summerofcode.withgoogle.com/archive/2021/organizations/4826533859950592/
AerospaceResearch.net,making space together,"
Science and Medicine
","['python', 'sqlite', 'raspberry pi', 'machine learning', 'sdr']","['cubesats', 'space applications', 'software defined radio', 'simulations', 'signal processing']",https://aerospaceresearch.net/?page_id=2156,https://aerospaceresearch.zulipchat.com/,https://summerofcode.withgoogle.com/archive/2021/organizations/4866654592303104/
AFLplusplus,Fuzzing for the future,"
Security
","['fuzzing', 'instrumentation', 'c/c++', 'rust', 'llvm']","['fuzzing', 'secure development', 'instrumentation']",https://github.com/AFLplusplus/AFLplusplus/blob/dev/docs/ideas.md,https://github.com/AFLplusplus/AFLplusplus/issues/783,https://summerofcode.withgoogle.com/archive/2021/organizations/5090910303420416/
Android Graphics Tools Team,Providing excellent tools for graphics developers and driver makers,"
Programming Languages and Development Tools
","['c++', 'spir-v', 'webgpu', 'opengl', ' java']","['fuzzing', 'developer tools', 'bug finding', 'graphics']",https://github.com/google/graphicsfuzz/blob/master/docs/summer-of-code-ideas/2021.md,mailto:android-graphics-tools@google.com,https://summerofcode.withgoogle.com/archive/2021/organizations/5995132419047424/
AnkiDroid,makes remembering things easy,"
End User Applications
","['java', ' javascript', 'gradle', 'android']","['android', 'user generated content', 'flashcard', ' education']",https://docs.google.com/document/d/14wAQ9rsSj8CDbwi-hcnFKxO3uE8atq2QDwDrBTRM3BU/edit?usp=sharing,https://discord.gg/JXaqQDp,https://summerofcode.withgoogle.com/archive/2021/organizations/5687189203058688/
AOSSIE,Australian Umbrella Org for Open-Source Projects,"
End User Applications
","['scala', 'javascript', 'machine learning', 'android', 'ios']","['electronic voting', 'social science', 'machine learning', 'natural language processing']",https://aossie.gitlab.io/pages/ideas.html,https://gitter.im/aossie/home,https://summerofcode.withgoogle.com/archive/2021/organizations/5135086290206720/
Apertium,A free/open-source machine translation platform,"
Other
","['c++', ' python', 'bash', 'xml', ' javascript']","['machine translation', 'natural language processing', 'less-resourced languages']",http://wiki.apertium.org/wiki/Ideas_for_Google_Summer_of_Code,http://wiki.apertium.org/wiki/IRC,https://summerofcode.withgoogle.com/archive/2021/organizations/5702681049432064/
apertus° Association,Open Technology for Professional Film Production,"
Graphics / Video / Audio / Virtual Reality
","['fpga', 'linux', 'embedded', 'vhdl', 'c/c++']","['camera', 'computational photography', 'computer vision', 'image processing', 'digital imaging']",https://lab.apertus.org/project/view/20/,https://www.apertus.org/irc-chat,https://summerofcode.withgoogle.com/archive/2021/organizations/5659873647263744/
ArduPilot,"The world's most versatile, trusted and open autopilot","
Other
","['drones', 'robotics', 'c/c++', 'linux', ' python']","['vison', 'robotics', ' embedded systems', 'real-time', 'drones']",https://ardupilot.org/dev/docs/gsoc-ideas-list.html,https://ardupilot.org/discord,https://summerofcode.withgoogle.com/archive/2021/organizations/4848051277004800/
Audacity,"Free, open source, cross-platform audio software","
Graphics / Video / Audio / Virtual Reality
",['c++'],"['audio editor', 'audio', 'audio analysis', 'audio processing']",https://wiki.audacityteam.org/wiki/GSoC_Ideas_2021,https://discord.gg/QtkZDUEphQ,https://summerofcode.withgoogle.com/archive/2021/organizations/5631107231383552/
BeagleBoard.org Foundation,"Community supported open hardware for makers, innovators and educators","
Programming Languages and Development Tools
","['risc-v', 'linux', 'arm', 'dsp', 'fpga']","['ai', 'iot', 'open hardware', 'robotics', 'process automation']",https://bbb.io/gsocideas,https://bbb.io/gsocchat,https://summerofcode.withgoogle.com/archive/2021/organizations/5067823478472704/
Bench-Routes,Bench-routes is an open-source project to analyze performance and monitor APIs.,"
End User Applications
","[' golang', 'docker', 'react']","['time-series', 'monitoring', 'web', 'devops']",https://github.com/bench-routes/bench-routes/wiki/GSoC-2021-Idea-List,https://gitter.im/bench-routes/community,https://summerofcode.withgoogle.com/archive/2021/organizations/5764622900002816/
Blender Foundation,We build a free and open source 3D creation suite.,"
Graphics / Video / Audio / Virtual Reality
","['c', 'c++', 'python', 'opengl', 'vulkan']","['graphics', '3d tools', 'rendering', '3d animation', 'virtual reality']",https://wiki.blender.org/wiki/GSoC/Ideas_Suggestions,https://blender.chat/channel/blender-coders,https://summerofcode.withgoogle.com/archive/2021/organizations/5672605809377280/
Boost C++ Libraries,Boost provides free peer-reviewed portable C++ source libraries,"
Programming Languages and Development Tools
","['c++', 'c++11', 'c++14', 'c++17', 'c++20']","['c++', 'algorithms', 'data structures', 'image processing']",https://github.com/boostorg/wiki/wiki/Google-Summer-of-Code:-2021,https://lists.boost.org/mailman/listinfo.cgi/boost,https://summerofcode.withgoogle.com/archive/2021/organizations/5123901926932480/
BRL-CAD,"We do computer graphics, 3D printing, & develop computer-aided tech (CAx)","
Graphics / Video / Audio / Virtual Reality
","['opencl', 'opengl', 'c/c++', 'python', 'scripting']","['geometry', 'ray tracing', 'visualization', '2d/3d graphics', 'high performance computing']",https://github.com/opencax/GSoC,https://brlcad.zulipchat.com,https://summerofcode.withgoogle.com/archive/2021/organizations/5647022668906496/
caMicroscope,Toolkit for cancer imaging research,"
Science and Medicine
","[' javascript', ' python', 'medical imaging', 'tensorflow', 'mongodb']","['data integration', 'machine learning', 'distributed systems', 'science and medicine']",https://github.com/camicroscope/GSOC,http://bit.ly/camicroscope,https://summerofcode.withgoogle.com/archive/2021/organizations/5372385280131072/
Casbin,"Authorization library that supports access control models like ACL, RBAC, ABAC","
Security
","[' golang', 'java', ' javascript', ' python', ' nodejs']","['security', ' cloud', ' web']",https://github.com/casbin/SummerOfCode2021,https://casbin.org/en/help,https://summerofcode.withgoogle.com/archive/2021/organizations/6199282348064768/
CASTOR,Trustworthy software intensive systems for critical functions.,"
Programming Languages and Development Tools
","['java', 'scala', 'bytecode']","['testing', 'optimization', 'development', 'automated program repair', 'software analysis']",https://docs.google.com/document/d/1zCRSd0M4rVbyyDqUPDTTu0FihMuyotTZCTaw-48ort0/edit,https://www.castor.kth.se/stay-tuned/,https://summerofcode.withgoogle.com/archive/2021/organizations/6291016608382976/
CCExtractor Development,Now in Rust,"
Graphics / Video / Audio / Virtual Reality
","['rust', 'c', 'python', 'flutter']","['video', 'subtitles', 'media', 'bittorrent']",https://ccextractor.org/public:gsoc:ideas_page_for_summer_of_code_2021,https://www.ccextractor.org/public:general:support,https://summerofcode.withgoogle.com/archive/2021/organizations/5102272740065280/
"Center for Research in Open Source Software, UC Santa Cruz",Bridging the Gap Between Student Work and Successful Open Source Projects,"
Other
","['c/c++', 'c++17', 'arrow', 'ceph', 'robotics']","['hardware', 'storage', 'databases', 'sensors', 'callibration']",https://uccross.github.io/projects,https://gitter.im/uccross/gsoc,https://summerofcode.withgoogle.com/archive/2021/organizations/6311773715562496/
Ceph,The Future of Storage,"
Data and Databases
","[' c++', ' python', 'angular', ' javascript', ' typescript']","['distributed systems', 'storage']",https://ceph.io/contribute/google-summer-of-code/,https://ceph.io/irc/,https://summerofcode.withgoogle.com/archive/2021/organizations/6259684285087744/
CERN-HSF,The umbrella organization for Particle (High-Energy) Physics-related projects,"
Science and Medicine
","['c/c++', ' python', 'data analysis', 'concurrency', 'container orchestration']","['particle physics', 'big data science', 'performance optimization', 'machine learning', 'algorithmics']",http://hepsoftwarefoundation.org/activities/gsoc.html,https://gitter.im/HSF/HSF-GSoC?utm_source=badge&amp;utm_medium=badge&amp;utm_campaign=pr-badge,https://summerofcode.withgoogle.com/archive/2021/organizations/6240588592054272/
CGAL Project,C++ library of computational geometry and geometry processing,"
Science and Medicine
","['c/c++', 'qt']","['computation geometry', 'geometry processing', 'mesh processing', 'geometry']",https://github.com/CGAL/cgal/wiki/Project-Ideas,https://www.cgal.org/mailing_list.html,https://summerofcode.withgoogle.com/archive/2021/organizations/6538937723518976/
CHAOSS Project,Creating analytics and metrics to help define open source community health.,"
Other
","['python', 'vue', 'elk', 'nltk', 'fossology']","['community', 'metrics', 'analytics', 'dependencies', 'diversity and inclusion']",https://github.com/chaoss/governance/blob/master/GSoC-Ideas.md,http://chaoss.community/participate/,https://summerofcode.withgoogle.com/archive/2021/organizations/5959947107434496/
Chapel,A Productive Parallel Programming Language,"
Programming Languages and Development Tools
","['chapel', 'high performance computing', 'c', 'c++', 'python']","['programming languages', 'compilers', 'high performance computing', 'distributed computing', 'parallel computing']",https://chapel-lang.org/gsoc/ideas.html,https://chapel-lang.org/developers.html,https://summerofcode.withgoogle.com/archive/2021/organizations/6086891878744064/
Checkstyle,Tool to help programmers write Java code that adheres to a coding standard.,"
Programming Languages and Development Tools
","['java', ' antlr']","['static code analysis', 'code review tool', 'coding standards', 'coding conventions']",https://github.com/checkstyle/checkstyle/wiki/Checkstyle-GSoC-2021-Project-Ideas,https://gitter.im/checkstyle/checkstyle,https://summerofcode.withgoogle.com/archive/2021/organizations/4766383010742272/
Chromium,"Fast, seamless, safe, and reliable computing experiences accessible for all.","
Web
","['c++', 'java', 'git', ' javascript', 'python']","['web', 'browser', 'operating-system']",https://docs.google.com/document/d/1x2ELJVSEUmiIzElcVGy5ScWoi4qRfgu2Hf1JAEYxrUg/edit?usp=sharing,https://groups.google.com/u/1/a/chromium.org/g/chromium-gsoc,https://summerofcode.withgoogle.com/archive/2021/organizations/4857406487527424/
Cilium,"eBPF-based Networking, Security, and Observability","
Cloud
","['ebpf', 'kubernetes', 'c', 'go', 'linux']","['cloud-native', ' networking', 'kernel']",https://docs.google.com/document/d/1eRsslqZWDYiIm4A2JZbgP0lL3EdPbHaBH3a1yl3ieEU,https://docs.cilium.io/en/latest/community/#slack,https://summerofcode.withgoogle.com/archive/2021/organizations/6055505163714560/
CircuitVerse.org,Build and learn logic circuits in the cloud!,"
Web
","['rails', 'canvas', 'machine learning', 'javascript', 'internationalization']","['web', 'simulations', 'pedagogy', 'education', 'digital logic design']",https://github.com/CircuitVerse/CircuitVerse/wiki/GSoC'21-Project-List,https://circuitverse.org/slack,https://summerofcode.withgoogle.com/archive/2021/organizations/6293580166987776/
CiviCRM LLC,Growing and sustaining relationships,"
End User Applications
","[' mysql', 'php', 'angular']","['crm', 'nonprofit']",https://lab.civicrm.org/community/gsoc/-/blob/master/projects.md,https://chat.civicrm.org,https://summerofcode.withgoogle.com/archive/2021/organizations/5667013157978112/
CloudCV,Building platforms for reproducible AI research,"
Cloud
","[' python', 'django', 'aws', 'docker', 'angular']","[' machine learning', ' artificial intelligence', 'deep learning', 'computer vision', 'reinforcement learning']",https://gsoc.cloudcv.org,https://gitter.im/Cloud-CV/,https://summerofcode.withgoogle.com/archive/2021/organizations/5332159690178560/
CNCF,Building sustainable ecosystems for cloud native software,"
Cloud
","['kubernetes', 'go', 'rust']",['cloud computing'],https://github.com/cncf/mentoring/blob/master/summerofcode/2021.md,http://slack.cncf.io,https://summerofcode.withgoogle.com/archive/2021/organizations/5144170817126400/
coala,Linting and Fixing Code for All Languages,"
Programming Languages and Development Tools
","['python 3', 'django', ' antlr', 'haskell', 'docker']","['static code analysis', 'chat', 'devops']",https://projects.coala.io,https://coala.io/chat,https://summerofcode.withgoogle.com/archive/2021/organizations/4904398832009216/
Continuous Delivery Foundation,Open-source community seeking to deliver software with security & speed,"
Programming Languages and Development Tools
","['jenkins', 'tekton', 'spinnaker', 'ortelius', 'screwdriver.cd']","['continuous delivery', 'great developer tooling', 'developer tools']",https://github.com/cdfoundation/soc,https://bit.ly/3bfxmFW,https://summerofcode.withgoogle.com/archive/2021/organizations/5349298455183360/
CRIU,Checkpoint/Restore in User-space,"
Operating Systems
","['linux kernel', 'c', ' python']","['containers', 'operating systems', 'live migration', 'checkpoint-restore']",https://criu.org/Google_Summer_of_Code_Ideas,https://lists.openvz.org/mailman/listinfo/criu,https://summerofcode.withgoogle.com/archive/2021/organizations/5396163661922304/
Cuneiform Digital Library Initiative (CDLI),International digital library of artifacts inscribed with cuneiform writing,"
Data and Databases
","['php', 'mysql', ' python', ' javascript', 'java']","['digitization', 'cultural heritage', 'nlp']",https://github.com/cdli-gh/Framework/wiki/Google-Summer-of-Code-GSoC-2021-Cuneiform-Digital-Library-Initiative-(CDLI)-ideas-list,https://github.com/cdli-gh/Framework/wiki/GSoC-Contact,https://summerofcode.withgoogle.com/archive/2021/organizations/5679162177617920/
Dart,Dart is a client-optimized language for fast apps on any platform.,"
Programming Languages and Development Tools
","['dart', 'flutter', 'programming-language']",['mobile apps'],https://github.com/dart-lang/sdk/wiki/Dart-GSoC-2021-Project-Ideas,https://groups.google.com/g/dart-gsoc,https://summerofcode.withgoogle.com/archive/2021/organizations/6522063568764928/
DBpedia,Global and Unified Access to Knowledge Graphs,"
Data and Databases
","['rdf', 'scala', 'sparql', ' python', 'javascript']","['knowledge graphs', 'data analytics', 'data extraction', 'natural language processing', 'data science']",https://forum.dbpedia.org/tags/c/projects/gsoc/8/gsoc2021-ideas,https://dbpedia.slack.com/,https://summerofcode.withgoogle.com/archive/2021/organizations/4709350374899712/
Debian,The Universal Operating System,"
Operating Systems
","['git', 'python', ' javascript', 'c/c++', 'irc']","['operating systems', 'packaging', 'android-sdk', 'clojure', 'debian-ci']",https://wiki.debian.org/SummerOfCode2021/Projects,https://wiki.debian.org/IRC,https://summerofcode.withgoogle.com/archive/2021/organizations/5913368723980288/
DeepPavlov,Open-source Conversational AI Stack,"
Other
","['python', 'docker', 'python deep learning frameworks', 'tensorflow', 'pytorch']","['nlp', 'conversational', 'agent']",https://deeppavlov.ai/gsoc_2021,https://t.me/DeepPavlovDreamDiscussions,https://summerofcode.withgoogle.com/archive/2021/organizations/6618455117135872/
"Department of Biomedical Informatics (BMI), Emory University School of Medicine",Data science and integrative biomedical research to advance healthcare,"
Science and Medicine
","['python', 'java', 'deeplearning', 'medical imaging', 'tensorflow']","['science and medicine', 'data integration', 'distributed systems', 'cloud', 'workflows']",https://github.com/NISYSLAB/Emory-BMI-GSoC/,http://bit.ly/emory-bmi,https://summerofcode.withgoogle.com/archive/2021/organizations/6515383720214528/
Digital Impact Alliance (DIAL) at UN Foundation,"Open source projects for humanitarian work, international development, and peace","
Other
","['javascript', 'android', 'python', 'linux', 'many more']","['nonprofit', 'humanrights', 'humanitarian', 'international', 'global']",https://hub.osc.dial.community/gsoc,https://hub.osc.dial.community/gsoc,https://summerofcode.withgoogle.com/archive/2021/organizations/5400186335002624/
Django Software Foundation,The web framework for perfectionists with deadlines.,"
Web
","['python', 'django']",['web development'],https://code.djangoproject.com/wiki/SummerOfCode2021,https://docs.djangoproject.com/en/dev/internals/contributing/new-contributors/,https://summerofcode.withgoogle.com/archive/2021/organizations/6030298738851840/
Elm Tooling,Improving your Elm experience!,"
Programming Languages and Development Tools
","['elm', 'functional programming', 'typescript']","['tooling', 'linter', 'parser', 'web']",https://github.com/elm-tooling/gsoc-projects/blob/master/readme.md,https://elmlang.herokuapp.com/,https://summerofcode.withgoogle.com/archive/2021/organizations/5833213695492096/
FFmpeg,"A complete, cross-platform solution to record, convert and stream audio & video","
Graphics / Video / Audio / Virtual Reality
","['c', 'assembler']","['video', 'audio', 'subtitles', 'images', 'multimedia']",https://trac.ffmpeg.org/wiki/SponsoringPrograms/GSoC/2021,https://ffmpeg.org/contact.html#IRCChannels,https://summerofcode.withgoogle.com/archive/2021/organizations/6245462977282048/
Fortran-lang,Fortran Programming Language,"
Programming Languages and Development Tools
","['fortran', ' python', 'c/c++', 'compiler', 'llvm']","['science', 'engineering', 'high-performance computing', ' libraries', ' numerical computing']",https://github.com/fortran-lang/fortran-lang.org/wiki/GSoC-2021-Project-ideas,https://fortran-lang.discourse.group/,https://summerofcode.withgoogle.com/archive/2021/organizations/6542461173760000/
FOSSology,Open Source Compliance with Open Source Tools,"
Other
","['php', 'c/c++', ' javascript', 'postgresql', ' python']","['compliance', 'license management', 'licensing']",https://github.com/fossology/fossology/wiki/Google-Summer-of-Code-Proposals-2021,https://join.slack.com/t/fossology/shared_invite/enQtNzI0OTEzMTk0MjYzLTYyZWQxNDc0N2JiZGU2YmI3YmI1NjE4NDVjOGYxMTVjNGY3Y2MzZmM1OGZmMWI5NTRjMzJlNjExZGU2N2I5NGY,https://summerofcode.withgoogle.com/archive/2021/organizations/5641437164601344/
FrameNet Brasil (UFJF),Natural Language Understanding with structured computational semantics,"
Data and Databases
","['php', ' mysql', ' javascript', ' python']","['natural language processing', 'natural language understanding', 'multimodal communication', 'multilinguality']",http://www.ufjf.br/framenetbr-eng/summer-of-code/,https://framenetbrgsoc.slack.com/,https://summerofcode.withgoogle.com/archive/2021/organizations/6046169112772608/
Free and Open Source Silicon Foundation,Working together to improve the Free and Open Source Silicon ecosystem,"
Other
","['verilog', 'compiler', 'risc-v', 'web development', 'jenkins']","['hardware', 'web services', 'debug', 'simulation', 'electronic design tools']",https://www.fossi-foundation.org/gsoc21-ideas,https://gitter.im/librecores/Lobby,https://summerofcode.withgoogle.com/archive/2021/organizations/6542389937700864/
