Organisation,Description,Category,Tech Stack,Tags,Idea List,IRC Channel,Org Page
52° North GmbH,52°North works on innovative ideas and technologies in geoinformatics,"
Science and Medicine
","['java', 'android', 'javascript', ' python', 'react']","['web services', 'floating car data', 'ogc standards', 'trajectory analytics']",https://wiki.52north.org/Projects/GSoC2020ProjectIdeas,https://wiki.52north.org/Projects/GSoC#Contact,https://summerofcode.withgoogle.com/archive/2020/organizations/6309633414660096/
AboutCode.org,"Find the origin, license and vulnerabilities of your code and deps.","
Programming Languages and Development Tools
","[' python', 'c/c++', 'rust', ' javascript', ' postgresql']","['dependencies', 'license-scan', 'application security', 'software analysis', 'machine learning']",https://github.com/nexB/aboutcode/wiki/GSOC-2020,https://gitter.im/aboutcode-org/discuss,https://summerofcode.withgoogle.com/archive/2020/organizations/6689005560659968/
Academy Software Foundation (ASWF),Open source foundation for film industry projects.,"
Graphics / Video / Audio / Virtual Reality
","['c/c++', ' python']","['2d/3d graphics', 'cloud computing', 'file formats', 'color management', 'filmmaking']",https://github.com/AcademySoftwareFoundation/tac/tree/master/gsoc,https://lists.aswf.io/,https://summerofcode.withgoogle.com/archive/2020/organizations/6043464124334080/
Accord Project,Linux Foundation’s open source project for smart legal contracts.,"
Programming Languages and Development Tools
","[' javascript', ' react', 'coq', 'ocaml', 'compiler']","['smart contracts', 'legal', 'blockchain', 'compilers', 'ai']",https://github.com/accordproject/techdocs/wiki/Google-Summer-of-Code,https://accord-project-slack-signup.herokuapp.com/,https://summerofcode.withgoogle.com/archive/2020/organizations/5947521500708864/
AerospaceResearch.net,making space together,"
Science and Medicine
","['python', 'vhdl', 'raspberry pi', 'sqlite', 'c++']","['cubesats', 'space applications', 'software defined radio', 'distributed computing', 'simulations']",https://aerospaceresearch.net/?p=1840,https://aerospaceresearch.zulipchat.com/,https://summerofcode.withgoogle.com/archive/2020/organizations/5720999993016320/
afl++,Making fuzzing more effective every day,"
Security
","['fuzzing', 'c/c++', 'qemu', 'llvm', 'sanitizers']","['bug finding', 'software testing', 'fuzzing']",https://github.com/vanhauser-thc/AFLplusplus/blob/master/docs/ideas.md,https://groups.google.com/forum/#!forum/afl-users,https://summerofcode.withgoogle.com/archive/2020/organizations/6438212253253632/
Amahi,Making Home Networking and Storage Simple,"
Operating Systems
","['ruby on rails', ' javascript', ' android', 'golang', 'swift']","['operating systems', ' networking', ' web servers', 'streaming', 'mobile-apps']",https://wiki.amahi.org/index.php/Google_Summer_of_Code_Ideas,https://wiki.amahi.org/index.php/IRC_Rules_and_Tips#IRC_Channels,https://summerofcode.withgoogle.com/archive/2020/organizations/5480514170912768/
Android Graphics Tools Team,Providing excellent tools for graphics developers and driver makers,"
Programming Languages and Development Tools
","['vulkan', 'opengl', 'c/c++', 'java', 'python 3']","['developer tools', '2d/3d graphics', 'debugging', 'profiling', 'bug finding']",https://github.com/google/graphicsfuzz/blob/master/docs/summer-of-code-ideas/2020.md,mailto:android-graphics-tools@google.com,https://summerofcode.withgoogle.com/archive/2020/organizations/5158050039595008/
AnitaB.org Open Source,Women transform technology. Technology transforms the world.,"
Other
","['ios', ' android', 'python', 'javascript']","['mobile', ' web', 'mobile programming', 'web programming']",https://github.com/anitab-org/anitab-org.github.io/wiki/GSoC-2020,http://anitab-org.zulipchat.com/,https://summerofcode.withgoogle.com/archive/2020/organizations/5270382996619264/
AOSSIE,Australian Umbrella Org for Open-Source Projects,"
End User Applications
","['javascript', 'swift', 'kotlin', 'python']","['electronic voting', 'natural language processing', 'machine learning', 'environment', 'social science']",https://aossie.gitlab.io/pages/ideas.html,https://gitter.im/aossie/home,https://summerofcode.withgoogle.com/archive/2020/organizations/5037209255673856/
Apertium,A free/open-source machine translation platform,"
Other
","['c++', 'bash', 'python', 'xml']","['machine translation', 'natural language processing', 'less-resourced languages']",https://wiki.apertium.org/wiki/Ideas_for_Google_Summer_of_Code,https://wiki.apertium.org/wiki/IRC,https://summerofcode.withgoogle.com/archive/2020/organizations/6269334810263552/
apertus° Association,Open Technology for Professional Film Production,"
Graphics / Video / Audio / Virtual Reality
","['fpga', 'vhdl', 'c/c++', 'linux', 'embedded']","['camera', 'vision', 'computational photography', 'image processing', 'digital imaging']",https://lab.apertus.org/project/view/20/,https://www.apertus.org/irc-chat,https://summerofcode.withgoogle.com/archive/2020/organizations/6145737898852352/
